F:\AMNIS_data\200114\day-0_Balance_HT\data\HT-0_chl-15_caz-05_rep-3.daf
All

Object Number	Area_M01	Gradient RMS_M01_Ch01	Aspect Ratio_M01	Intensity_MC_Ch02	Intensity_MC_Ch04	Intensity_MC_Ch12
0	19.6666666666667	71.1303285269455	0.563814345328397	15825.0972222221	3388.90277777776	5319.2916666667
1	20.1111111111111	68.2457051867585	0.699060134396413	14576.6111111111	1461.23148148148	3303.66666666666
2	22.5555555555556	70.3371180515362	0.659506417215719	14174.3571428572	3473.92857142858	5131.5
3	24.1111111111111	70.2422174279516	0.608207216289269	9296.56696428567	1262.06696428571	5121.06696428573
4	19.5555555555556	68.7570214335291	0.545411662700757	12361.75	1552.25000000001	2807.00000000001
5	18.3333333333333	73.1390923779433	0.574648553710633	67.0208333333331	1738.48958333333	4756.20833333332
6	26.1111111111111	68.8645608703323	0.600770669200542	11499.9791666666	1875.60416666667	2133.58823529412
7	17.6666666666667	71.3262624292682	0.435263912907579	20972.4305555555	1690.38888888888	3469.97685185185
8	19.4444444444444	70.0887579360458	0.761034467548759	9935.00000000003	1966.22222222221	1492.22222222222
9	26.5555555555556	69.3573789840183	0.482827640854152	583	242.75	4133.99999999999
10	19.2222222222222	69.7450566451058	0.739639376187149	15229.32	3414	483.56
11	17	68.4907595217391	0.831044075837947	10665.75	2634.68749999999	2525.87500000001
12	21.3333333333333	69.55182078483	0.668833734741813	11173.0865384616	2686.47115384615	4330.89423076923
13	22	70.7789415986412	0.496746136321915	10707.3928571429	1296.89285714286	5594.07142857144
14	21	68.9609766665326	0.725640733922658	2593.35714285716	1097.89285714286	3474.82110091742
15	17.1111111111111	68.4971717315137	0.635119964600916	10916.7307692307	2554.01923076924	1314.36538461538
16	31.2222222222222	69.3835362581296	0.455800535730547	7576.5689655172	1731.77586206896	4939.39655172416
17	25.1111111111111	68.716320333314	0.643151388219513	16626.4711538462	3188.71153846155	3914.05769230767
18	22.2222222222222	68.915623202112	0.639319004490796	14005.2586206896	3293.65517241377	3762.81896551727
19	24	69.2652388484132	0.652977022546819	17225.3928571429	3370.5	3611
20	20.8888888888889	68.4867753270802	0.685358122911715	7835.34615384614	1096.54807692308	2397.6778846154
21	21	70.9472255534145	0.552527043640598	13200.4330357143	2868.83482142858	4328.19642857145
22	15.8888888888889	70.8288685576917	0.709333099346191	10411.1971153847	2639.87019230768	2931.74519230768
23	21.6666666666667	68.3123709961678	0.711361645547965	6619.48275862068	1376.53448275861	3074.37931034483
24	24.5555555555556	68.8687063918353	0.622776157171154	8394.94642857142	1260.48214285714	3927.82142857144
25	21.1111111111111	68.1048461795886	0.679124930043188	7945.81896551726	1478.11206896551	4356.93103448275
26	19.5555555555556	68.1841767937207	0.710392751736337	9932.30092592593	1607.10185185186	3694.3148148148
