F:\AMNIS_data\200114\G1-R12\data\R12.daf
All

Object Number	Area_M01	Gradient RMS_M01_Ch01	Aspect Ratio_M01	Intensity_MC_Ch02	Intensity_MC_Ch04	Intensity_MC_Ch12
0	19.2222222222222	69.8035245564244	0.739973578642212	92.6018518518515	1700.12037037038	1435.72222222222
1	33	61.5373042957476	0.654514091173681	296.5234375	3278.375	6010.8203125
2	28.8888888888889	67.6868632823621	0.570988064780776	277.983870967743	3133.5322580645	3101.62903225809
3	18.1111111111111	65.6309838799541	0.74635924140341	127.279166666667	2013.28333333334	2631.96249999999
4	29.6666666666667	60.9999882563526	0.627738937815991	282.5625	3146.5625	7384.734375
5	23.5555555555556	63.763624490641	0.749987836663884	222.481481481482	2497.59259259258	6572.29629629629
6	25.5555555555556	61.6027953599819	0.775508078085495	209.995967741937	2340.96774193549	4321.6693548387
7	20.8888888888889	68.6582339320801	0.70373266878568	140.56	1736.56	4452.40000000002
8	19.4444444444444	70.6604674763291	0.741364267575579	383.428571428572	4382.82142857141	5901.78571428574
9	37.8888888888889	64.3211520433933	0.773846383304203	671.1875	6520.046875	7676.25
10	39.3333333333333	66.231501755464	0.676017251296892	810.68092105264	8757.92434210532	11627.5460526316
11	18.4444444444444	72.1546699254599	0.589052745006293	149.634615384615	1921.625	5007.54807692305
12	20.2222222222222	62.6306323840322	0.846717807247757	220.241071428573	2279.00892857142	1006.82142857143
13	21.8888888888889	70.4495485269675	0.562731549249126	415.653846153845	5386.73076923081	3764.25
14	21.6666666666667	63.131038826008	0.7464389478617	144.267857142856	2352.8125	3593.88392857142
15	28.1111111111111	71.0805663989536	0.38039367934813	454.037037037033	7178.37037037029	1928.03703703705
16	24.2222222222222	64.3173725182426	0.73562241662027	317.141666666669	3498.63750000002	3376.94583333334
17	28.1111111111111	65.0925161308831	0.581784445146713	202.129032258065	4340	7232.41935483872
18	20.8888888888889	68.89847220151	0.699180981352166	146.189655172415	2799.76724137932	3743.32758620689
19	39.7777777777778	64.7762087636765	0.719712079092753	801.5625	9913.79166666673	9422.74999999997
20	20.2222222222222	63.8009274494526	0.740571155841127	174.2	2069.2	2102.6
21	19.2222222222222	65.4553121330779	0.919560776554186	131.2	1727	674.199999999998
22	19.3333333333333	66.9611457163636	0.791816626851321	82.0288461538467	769.42307692308	3558.51923076923
23	33.8888888888889	66.6527419851336	0.581351097041884	348.659090909094	4853.71212121211	7365.42424242421
24	18.4444444444444	70.5505511231647	0.745929303646589	125.14	1290.03	3172.25999999999
25	35.6666666666667	61.8224883016294	0.559021851651528	301.143939393939	4421.56439393941	168.473484848485
26	22.7777777777778	63.8416420211721	0.812278011953111	150.043478260869	2042	755.652173913045
27	25.5555555555556	63.4604390796048	0.659474123216276	386.145833333335	3811.85416666668	2236.16145833333
28	27.1111111111111	64.1277195303334	0.73560573318262	204.19642857143	3045.74107142856	5829.30357142863
29	16	69.8087674113698	0.566078081321891	280.089285714285	3489.99107142856	4323.58482142857
30	20.4444444444444	65.5607011653625	0.607731280916462	305.918103448276	3462.00431034481	1433.43534482759
31	23.1111111111111	70.0257051898681	0.591224817555045	204.275862068967	2693.93103448275	6144.6206896552
32	24.5555555555556	62.1623489403922	0.796501213949988	79.802419354838	1361.79838709678	4452.90322580647
33	22.7777777777778	68.3968784776523	0.675756159447639	37.1999999999998	1462.40000000001	5056.35000000001
34	22.1111111111111	62.2143659522395	0.832826270992286	157.02734375	2483.01171875	1121.77734375
35	18.8888888888889	67.3792130234228	0.784516044332328	292.215517241379	2992.12931034481	2378.4224137931
36	35.8888888888889	65.4112569873845	0.725746856662067	667.46875	7117.4375	6534.96875
37	24	62.9344298120313	0.694143147549023	379.5	4244.1796875	2866.4140625
38	26.4444444444444	61.2147205575532	0.772923880451799	260.875	2950.33653846152	5096.78846153849
39	16.1111111111111	69.3070109694088	0.72485988105182	220.777777777778	3341.8888888889	2207.1111111111
40	36.6666666666667	66.9414334244856	0.689509481582608	420.070512820514	5236.8461538461	3542.28205128205
41	23	63.8401591297359	0.725790503294469	186.987499999999	1582.85000000001	3342.95000000002
42	26.5555555555556	72.5366829048209	0.6288049007663	242.199999999999	2895.87857142856	3797.375
43	27.1111111111111	70.2537954707643	0.879475185105974	203.94827586207	2214.02586206896	4298.40086206898
44	20.2222222222222	65.175873140615	0.799974304037041	153.387931034483	2033.27586206897	380.551724137933
45	19.2222222222222	70.4893965106313	0.683990703331191	54.1739130434775	1338.05434782608	2331.39673913044
46	16	72.3277346958633	0.613952555341694	199.703703703704	2258.66666666667	5037.25925925926
47	26	64.5928899363811	0.665620122754912	311.836538461538	2446.0576923077	508.826923076921
48	24.7777777777778	70.2649554784135	0.561199989794852	374.924999999998	3824.43499999999	6281.69000000001
49	46.3333333333333	67.9581261333959	0.663051464883917	512.71875	5746.84374999996	2047.28125000003
50	27.7777777777778	69.1013504207261	0.598707430278987	495.379310344826	5455.44827586208	4220.56896551725
51	18.6666666666667	73.4517104597105	0.628530365265306	150.913793103448	3245.79310344826	8568.77586206901
52	23.7777777777778	64.6419184107529	0.697459245878269	276.285714285713	3041.67857142858	5049.17857142859
53	34	61.6552329491628	0.66915664421436	231.09375	3085.1328125	6651.09375
54	15.4444444444444	72.7845121193773	0.616534093441308	99.6574074074073	1351.53703703703	3510.23148148149
55	19.3333333333333	65.5834888189407	0.799183156844326	228.077586206898	2280.03448275862	3196.49565217393
56	16.8888888888889	67.0742107676214	0.794812676582196	266.899999999999	3768.30000000001	4048.6
57	32.5555555555556	62.9356662302204	0.720668763640498	396.036290322582	3882.59274193544	4484.64919354842
58	32.2222222222222	63.6712352564875	0.798024016978515	658.5	7016.37142857138	7874.76428571435
59	26.8888888888889	64.6246785093456	0.655117418123316	361.483333333336	3703.11250000002	5886.31666666666
60	32.4444444444444	64.4121449921547	0.557933980553772	481.677419354841	4608.99193548386	8103.53225806454
61	23.3333333333333	61.66585739726	0.786192673871424	318.433333333332	3324.53333333334	2924.76666666667
62	18.1111111111111	65.1867947270308	0.834065598246797	270.96875	2977.21875	2681.3125
63	26.7777777777778	64.6727869745621	0.635876697657279	234.370967741934	2591.13709677421	6200.92741935479
64	36.4444444444444	62.2237999038678	0.531695616088041	443.23046875	5853.12890625	8134.48046875
65	37.8888888888889	61.5361577535476	0.800658539645746	163.73106060606	2470.95075757574	1697.93560606061
66	30.5555555555556	68.0556357090184	0.543056095542412	350.413793103447	4274.39655172413	7976.53448275855
67	16.2222222222222	71.5135727170486	0.729625989314863	124.714285714286	1196.14285714286	4796.55555555554
68	25	64.8329051157552	0.706042286489976	474.401785714284	6605.875	707.558035714285
69	27.7777777777778	62.3027223133554	0.638066636764429	405.721774193548	6066.91532258061	5058.31854838708
70	26.2222222222222	63.5776771503493	0.70033484838733	206.024193548388	2904.05645161291	5113.06451612901
71	22.6666666666667	61.9689092876428	0.821481099112909	105.225806451613	2161.73387096774	3163.2177419355
72	22	63.9034558748256	0.74410949745863	253.935483870967	3230.80645161292	3961.87096774197
73	19.7777777777778	65.59162368497	0.791536859167418	66.9353448275868	1672.05172413794	2662.52155172413
74	31.1111111111111	65.1268181720605	0.690850974167246	565.580645161286	6785.83870967739	7223.54838709679
75	21	66.6276260655206	0.56350370883117	100.598214285714	1656.36607142858	2070.1875
76	24.7777777777778	70.940572671981	0.622909110321536	198.49107142857	2361.45089285713	4945.43303571426
77	21.8888888888889	69.2575357089942	0.71341423033091	213.038793103449	2274.1077586207	3906.65086206895
78	26	67.6701948377949	0.629747028579344	295.651785714286	4076.39285714287	6386.20089285718
79	21.7777777777778	71.9380781230821	0.544299561768693	312.964285714286	3142.62500000001	516.571428571425
80	29.2222222222222	67.5981358342264	0.740323115932116	276.16129032258	3951.77419354841	3813.09677419354
81	35.2222222222222	67.6752359888977	0.453356884518196	311.02734375	4443.8984375	22614.046875
82	22.6666666666667	66.2598350193891	0.469518855586089	230.284482758621	2927.32758620688	4253.87068965519
83	42.2222222222222	70.0921513969448	0.838227646400055	573.444444444449	6158.15277777781	6627.72222222219
84	24.2222222222222	70.8387401220946	0.638307889574496	324.857142857143	3716.21428571431	3692
85	20.2222222222222	67.4682787480526	0.746349270460729	313.999999999998	4081.99999999999	3397.99999999999
86	21.5555555555556	69.7870633027644	0.698151369595754	357.759259259261	3417.8888888889	1918
87	33.1111111111111	61.0689650162478	0.617187111861024	590.511363636366	5399.48863636365	6115.46590909096
88	23.6666666666667	65.9587100069995	0.746871303525194	142.759615384617	3413.58173076921	3687.27403846153
89	23.1111111111111	64.5475609815958	0.705540322457784	202.560344827585	2526.19827586208	2886.25
90	37.2222222222222	63.6746189807982	0.70918912526845	222.445945945945	3565.47297297301	3625.39189189189
91	24.6666666666667	68.6270979945693	0.598039208723341	558.77777777778	5309.29629629633	5642.40740740741
92	20.4444444444444	72.7252546938267	0.394510007811709	216.717592592593	2697.43055555554	4060.50462962965
93	24.2222222222222	68.3887874791809	0.63003035497836	220.40625	2648.38392857142	4252.56696428573
94	24.2222222222222	69.9596453715169	0.466907163367088	356.081081081079	5203.31081081087	6850.06756756753
95	29.7777777777778	69.3470600724094	0.550104630609954	578.409999999999	6685.83999999998	8771.90000000002
96	25.2222222222222	67.0702946255417	0.746139513274011	223.483333333332	2834.34583333334	4276.5625
97	22.5555555555556	64.3936648764606	0.72525562857039	274.449999999999	2334.12083333334	2919.32499999999
98	29.5555555555556	60.9566067897222	0.527332695665893	288.548387096776	3352.45161290325	4313.41935483872
99	22	65.0491307625938	0.741612547791798	178.104166666666	3088.09375000002	6611.3125
100	14.7777777777778	73.9134005827745	0.633793131083289	200.153846153847	2741.33653846154	1377.15384615384
101	18.8888888888889	72.1825322180706	0.524779212138988	206.537037037037	2325.77777777778	6142.10309278349
102	21.7777777777778	61.7604208942624	0.781692556869494	108.983870967742	1518.4435483871	17.75
103	23.1111111111111	61.7635863021006	0.782366635891381	189.495535714285	1926.24553571428	972.334821428577
104	26.5555555555556	63.8706456103729	0.644266989797647	548.17578125	6226.12890625	2351.99609375
105	37.2222222222222	63.1600631124127	0.826995412506358	453.499999999996	4111.12500000001	7203.87499999995
106	20.4444444444444	62.7464464606084	0.788804296820071	143.806451612903	1684.61290322581	3783.01612903225
107	26.8888888888889	63.1729261268983	0.68382457989677	224.913793103449	2024.49568965519	4492.3232758621
108	22.7777777777778	68.6133373660019	0.63122410813717	371.841666666669	3765.69166666666	4049.95833333332
109	24.8888888888889	62.2671584693525	0.730272600144588	281.080645161292	2680.14516129031	211.096774193548
110	34.3333333333333	61.795728015669	0.509186181596517	320.01209677419	3999.47580645163	5525.88306451609
111	31	71.4924718896097	0.884551007029147	345.738636363635	3435.04545454544	1116.48863636364
112	18.6666666666667	65.1908755355069	0.608139859133043	236.980000000001	2605.47000000001	1750.45000000001
113	25.7777777777778	66.4774673816259	0.619154320359606	230.466346153847	2863.39423076925	6652.00480769233
114	24.2222222222222	71.5646937668196	0.77491114542341	438.170000000001	6440.75	6222.72000000002
115	22.4444444444444	71.0794770298938	0.586111938534311	300.379629629628	3623.83333333335	2336.37962962964
116	25.6666666666667	63.1726605359871	0.720058124564006	324.26666666667	4090.96666666666	6194.79999999997
117	26.1111111111111	63.7928938652987	0.69987660180183	234.697115384615	2068.48076923076	5576.45673076926
118	23	63.5450513233355	0.588419293433801	172.870967741937	1784.8185483871	4468.79838709676
119	36.1111111111111	62.9984301807166	0.589294741828376	668.749999999996	8296.83333333331	4703.50000000004
120	18.1111111111111	63.8792279430606	0.881147104740439	95.0333333333332	856.908333333331	1927.24166666667
121	28.6666666666667	62.3387231324534	0.646475836414092	300.6015625	2351.73828125	5051.46875
122	30.5555555555556	67.1063649571225	0.592830359066846	433.770000000001	5323.80499999998	2608.85500000002
123	20.3333333333333	71.8692845049077	0.610881773960287	187.830357142858	1602.1875	4746.5044642857
124	27.3333333333333	65.995183884506	0.629006446234224	132.625	2738.34375	6789.375
125	19.5555555555556	64.5201529343601	0.778350249459099	106.431034482759	1779.13793103448	3992.0905172414
126	21.1111111111111	62.6494177742934	0.850946896655885	69.3427419354845	1417.92338709678	2842.61693548386
127	18.4444444444444	68.6249663647519	0.698491182295979	97.3958333333327	1604.6875	2050.59375
128	21.4444444444444	62.5132545238607	0.713330719480005	144.629032258064	2429.1129032258	311.096774193548
129	19	73.3280882455736	0.505879930156564	257.620370370369	2877.21296296296	6551.3055555556
130	22.7777777777778	61.6147693893249	0.821605617523106	47.0758928571433	1447.69196428571	4872.94196428574
131	28.5555555555556	70.1388415184337	0.687640044546306	294.66517857143	3804.29910714287	7349.41071428574
132	26.4444444444444	67.7234207291423	0.636559907961456	402.991071428569	4557.1875	6288.5803571429
133	26.7777777777778	62.5704309018426	0.710283271694628	224.166666666667	2744.50000000001	5166.49999999997
134	28.7777777777778	63.2008310851377	0.596569162990975	336.424242424242	5520.26515151511	6424.64393939393
135	16.8888888888889	69.0042014569225	0.728645301492067	143.666666666666	1890.58333333332	2714.49999999999
136	20.4444444444444	67.6383177240842	0.694169440516677	173.803571428572	2390.65178571428	3120.94642857144
137	24.7777777777778	61.6586227377722	0.810488844893686	49.82421875	2427.83984375	5046.5
138	25.3333333333333	62.3077209261122	0.730647676304623	223.854838709678	3443.875	579.282258064517
139	22.7777777777778	72.4237740566172	0.563240834177577	218.671875	2175.65625	6173.98958333336
140	24.4444444444444	69.0323950580814	0.64355290436138	79.1034482758624	1955.13793103447	4338.06896551724
141	19.8888888888889	72.1850821135996	0.623386835714372	285.439814814813	2891.01388888887	3627.54166666665
142	19.4444444444444	68.5246402733543	0.838568317422697	210.325000000001	2596.94999999999	819.925000000001
143	23	61.132019658844	0.731585110814499	296.220588235295	2888.76470588237	3312.82352941177
144	19	63.6691516566163	0.778395633738027	219.000000000001	2226	2301
145	20.7777777777778	71.4501140894848	0.608222023729248	302.703703703706	4287.66666666666	6220.01851851853
146	21.6666666666667	65.8841097650258	0.759955811257473	199.725000000001	2039.59	3451.68
147	20	61.6728021399598	0.810651011559307	151.083333333332	2019.04166666667	2108.85416666666
148	23.2222222222222	70.9268614550889	0.49003929404165	142.112068965518	1907.80603448276	4910.18534482761
