F:\AMNIS_data\200116\data\HT_1_A25_REP-3_2.daf
All

Object Number	Area_M01	Gradient RMS_M01_Ch01	Aspect Ratio_M01	Intensity_MC_Ch02	Intensity_MC_Ch04	Intensity_MC_Ch12
0	20.2222222222222	71.5796389977867	0.62544444141978	7131.31481481482	2053.07407407407	332.111111111111
1	15.2222222222222	71.7621140826325	0.720792941609584	21912.716216216	5524.570945946	4973.53716216215
2	17.5555555555556	69.5475097876636	0.920327081516919	605.285714285713	179.669642857144	87.848214285714
3	37.1111111111111	72.9899333717708	0.809027049823712	22748.1560509552	7610.35975609763	10613.1656050955
4	31.8888888888889	74.5001871618181	0.407837019397226	55544.0285714284	20348.9624060149	16857.7642857142
5	16	73.0159722836577	0.647225437980087	14903.9351145039	12623.3272058824	8133.13636363633
6	22.1111111111111	73.2960952547258	0.460729685434188	33905.9717741937	16482.5483870968	9160.9798387097
7	19.2222222222222	73.7002041997316	0.524147235785444	7547.35714285706	2707.67857142854	6113.03571428569
8	17.8888888888889	72.2459252359638	0.587403426463361	16697.46875	7584.35714285714	3102.27734375
9	16.6666666666667	72.5671164954148	0.562008296351426	19126.2500000001	8014.18749999993	3431.12500000001
10	20.8888888888889	69.0697191987192	0.642497073992841	3890.12499999999	1863.56250000001	5089.37500000002
11	24.6666666666667	71.9445617263068	0.505679820086413	22363.9353448274	8274.82758620688	6654.08189655176
12	20.6666666666667	69.1692371845705	0.738707986097451	3773.91666666669	2375.37499999999	907.625
13	18.5555555555556	68.5225955059412	0.811715805050158	7351.5555555556	678.777777777782	2036.55555555555
14	18	71.1104828052772	0.717671034982825	12120.6691176471	3253.7426470588	7328.05147058822
15	14.8888888888889	72.1887163787392	0.554612518331301	9292.37499999998	3210.57812499999	1444.921875
16	24.3333333333333	72.1594672535982	0.521945898515931	24361.10546875	8927.25390625	3218.19140625
17	16.1111111111111	70.9569066837508	0.696760062544255	4094.57954545456	1674.04545454545	1414.43181818181
18	15.6666666666667	72.9582699834742	0.558010948328351	15221.9583333332	3691.85416666669	2987.33333333332
19	14.3333333333333	73.295244072555	0.475679877199396	7721.04639175256	2073	693.213541666671
20	34.2222222222222	73.6887243890059	0.415729918846481	16754.7569444445	7222.29166666664	5606.68055555552
21	15.6666666666667	74.3662278687342	0.574510874951289	7362.50000000004	1939.44999999999	4139.25000000002
22	28.7777777777778	72.7616805548874	0.69309795587362	8690.72580645168	261.491935483865	9823.75806451613
23	16.8888888888889	70.8167971994983	0.606503919834164	9233.17361111107	2715.21527777777	1065.86805555556
24	23.4444444444444	68.1387314010776	0.618165081919585	804.913461538468	5422.2884615384	3903.10576923079
25	14.5555555555556	73.1928433739183	0.579529928648603	12315.4642857142	4412.89285714286	2827.67857142857
26	13.3333333333333	73.2668086167924	0.363391427667618	17930	2349.425	5513.17431192658
27	37.1111111111111	71.0760211384219	0.426768542903387	14828.9838709678	4583.72950819673	8537.60887096773
28	17.4444444444444	70.2059046428194	0.563133819887697	5145.82758620687	2027.03448275861	5009.06896551723
29	34.2222222222222	70.388008686789	0.445438978447612	49880.1499999996	15182.0791666667	11519.6125000001
30	22.8888888888889	71.6475040699846	0.576602961562579	16787.3235294116	7101.38235294116	3567.76470588233
